"",feature,0.001,1.0,10.0,100.0
0,clean,-0.064238,-0.009759,0.053368,0.093128
1,lien,0.212649,0.264117,0.297700,0.178495
2,missing,-0.011199,0.038902,0.052043,0.012133
3,parts only,0.561292,0.296024,0.051416,0.004315
4,rebuilt,-0.207069,-0.152466,-0.088737,-0.044877
5,salvage,-0.491434,-0.436817,-0.365790,-0.243195
6,condition_salvage,-0.368027,-0.347504,-0.266958,-0.088808
7,excellent,-0.050629,-0.054008,-0.064385,-0.071902
8,fair,-0.471232,-0.473205,-0.470762,-0.380942
9,good,-0.011397,-0.014770,-0.024961,-0.031489
10,like new,0.239881,0.236407,0.225148,0.209550
11,new,0.661404,0.653080,0.601918,0.363591
12,year,0.035237,0.035232,0.035270,0.035656
13,odometer,-0.197676,-0.197772,-0.198147,-0.199415
